txn_id,applicant_id,txn_hour,is_new_device,txn_amount_inr,channel,isolation_prediction,flagged_anomaly
BTXN5207,APP1358,19,0,499,P2P,1,False
BTXN5208,APP1219,19,0,3999,P2P,1,False
BTXN5209,APP1105,21,0,1999,P2P,1,False
BTXN5210,APP1374,12,0,999,P2M,1,False
BTXN5211,APP1069,7,0,999,P2M,1,False
BTXN5212,APP1194,15,0,1999,P2M,1,False
BTXN5213,APP1185,22,0,499,P2M,1,False
BTXN5214,APP1098,10,0,499,P2P,1,False
BTXN5215,APP1081,17,0,999,P2M,1,False
BTXN5216,APP1074,11,0,499,P2M,1,False
BTXN5217,APP1373,14,0,199,P2M,1,False
BTXN5218,APP1339,6,0,199,P2P,1,False
BTXN5219,APP1191,20,0,199,P2P,1,False
BTXN5220,APP1324,11,0,1999,P2P,1,False
BTXN5221,APP1213,11,0,499,P2M,1,False
BTXN5222,APP1314,18,0,999,P2M,1,False
BTXN5223,APP1381,6,0,499,P2M,1,False
BTXN5224,APP1366,18,0,199,P2M,1,False
BTXN5225,APP1317,12,1,499,P2M,1,False
BTXN5226,APP1143,20,0,999,P2M,1,False
BTXN5227,APP1383,17,0,999,P2P,1,False
BTXN5228,APP1215,6,0,3999,P2P,1,False
BTXN5229,APP1360,20,0,999,P2M,1,False
BTXN5230,APP1323,9,0,499,P2P,1,False
BTXN5231,APP1014,18,0,999,P2M,1,False
BTXN5232,APP1216,10,0,3999,P2M,1,False
BTXN5233,APP1034,7,1,999,P2M,1,False
BTXN5234,APP1182,6,0,199,P2M,1,False
BTXN5235,APP1269,21,0,499,P2M,1,False
BTXN5236,APP1357,11,0,999,P2M,1,False
BTXN5237,APP1099,21,0,999,P2P,1,False
BTXN5238,APP1006,19,0,199,P2P,1,False
BTXN5239,APP1029,8,0,1999,P2P,1,False
BTXN5240,APP1304,20,0,3999,P2M,1,False
BTXN5241,APP1143,8,0,199,P2P,1,False
BTXN5242,APP1110,7,0,1999,P2P,1,False
BTXN5243,APP1231,6,0,199,P2P,1,False
BTXN5244,APP1178,14,0,199,P2M,1,False
BTXN5245,APP1071,14,0,199,P2M,1,False
BTXN5246,APP1209,12,1,199,P2M,1,False
BTXN5247,APP1219,8,0,1999,P2M,1,False
BTXN5248,APP1079,16,0,199,P2M,1,False
BTXN5249,APP1082,12,0,199,P2M,1,False
BTXNA0,APP1089,2,1,24999,P2P,-1,True
BTXNA1,APP1185,3,1,19999,P2P,1,False
BTXNA2,APP1317,1,1,19999,P2P,1,False
BTXNA3,APP1357,4,1,19999,P2P,-1,True
BTXNA4,APP1173,4,1,14999,P2P,-1,True
BTXNA5,APP1216,4,1,19999,P2P,-1,True
BTXNA6,APP1394,4,1,14999,P2P,-1,True
BTXNA7,APP1263,2,1,19999,P2P,-1,True
BTXNA8,APP1096,2,1,14999,P2P,-1,True
BTXNA9,APP1116,3,1,19999,P2P,1,False
BTXNA10,APP1198,2,1,24999,P2P,-1,True
BTXNA11,APP1319,1,1,24999,P2P,-1,True
BTXNA12,APP1020,1,1,14999,P2P,-1,True
BTXNA13,APP1199,4,1,14999,P2P,-1,True
BTXNA14,APP1370,1,1,19999,P2P,1,False
